title,date,event,link,description
"Purdue Expert: ChatGPT and Cybersecurity","Mar 7 2023","Purdue University","https://www.youtube.com/embed/VlsFAOJqy84","In this video, he explains what ChatGPT is and how it will impact cybersecurity. ChatGPT is an artificial intelligence-based chatbot developed by OpenAI. This chatbot can be used to generate essays, engage in philosophical conversations and even write software code for users. However, Bagchi says that ChatGPT is still far off from more advanced AI systems that could have the intelligence and independent creativity of a human. ChatGPT is tightly controlled by OpenAI and has programmed the chatbot to refuse “inappropriate requests” from users. This includes requests to generate harmful code for use in cybersecurity attacks. Bagchi points out that some users have found ways to bypass these restrictions and could use the chatbot to create convincing phishing emails in an attempt to steal private information. Bagchi believes that ChatGPT can be used to train cybersecurity systems and human operators better by generating examples of what cyberattacks look like, strengthening the security of our computing systems."
"Purdue Expert: 2023 Tech Trends","Mar 6 2023","Purdue University","https://www.youtube.com/embed/h_YJz6k6fWk","In this video, he predicts what technology stories are likely to trend in 2023. Bagchi says that 5G will reach its full potential as service providers continue to invest in the necessary infrastructure. This will lead to less buffering for streaming content and critical applications for public safety, asset monitoring, and augmented reality will be developed using 5G networks. Metaverse has so far disappointed users with empty virtual worlds and jarring experiences. However, Bagchi believes that there is enough talent and money being put into the project that something substantial will come out of the Metaverse in 2023. Following Twitter’s sale in 2022, Bagchi is cautiously anticipating that the social media company, or one of its competitors, will step up and become a prime player in the internet’s public square. Advancements with genomic sequencing are predicted to have a substantial impact on how diseases such as COVID-19 are fought in 2023. Bagchi also believes that the exchange of technology between countries will continue to become more closed off, ending an era of globalization in tech."
"Dependability and Data Analytics: A Match Made in the Cloud","Jan 12 2023","COMSNETS 2023","https://www.youtube.com/embed/MHPnrIicLt4","We live in a data-driven world as everyone around has been telling us for some time. Everything is generating data, in volumes and at high rates, from the sensors embedded in our physical spaces to the large number of machines in data centers which are being monitored for a wide variety of metrics. The question that we pose is: Can all this data be used for improving the dependability of cloud computing systems?"
"Life in our school","October, 2021","Purdue ECE","https://www.youtube.com/embed/OBpaTkM5BRU","Here is a quick overview of life in ECE, from the research, teaching, and engagement angles. This was created to celebrate the naming of our school as the Elmore Family School of Electrical and Computer Engineering. Hope this piques your interest to join us. My take on it starts at 5:56."
"Army Research Lab funded A2I2 project on assured autonomy","January, 2021","A2I2","https://www.youtube.com/embed/TcSzUzL9aTk","AI Assured Autonomy Innovation Institute (A2I2) project at Purdue and Princeton, 2020-25. Led by Purdue: Saurabh Bagchi (PI), Somali Chaterji, Mung Chiang, David Inouye, and Princeton: Prateek Mittal."
"Overview of IoT systems research as part of Purdue WHIN","Dec 18, 2020","WHIN 2020","https://www.youtube.com/embed/kc0umEo-hhE","WHIN 2020 Manufacturing Summit"
"IoT and Sensor Update for Purdue Ag-WHIN","Dec 4 2020","Ag-WHIN","https://www.youtube.com/embed/UrObc4DcRJI","Saurabh Bagchi, Professor of Electrical and Computer Engineering and Computer Science at Purdue University, gives an update on IoT and Sensor activities happening at the university related to digital agriculture and how they benefit the Wabash Heartland Innovation Network (WHIN). This update occurred in December 2020 and reflects activities in year 3 of the partnership between Purdue and WHIN."
"Robert Kahn - Q & A Panel","Apr 30, 2018","Purdue Engineering","https://www.youtube.com/embed/MauKXDnJNIA","Topic: The Internet's Present and Future: Technology and Policy Grand Challenges.\n\n A Distinguished Lecture Series panel-based question and answer session with Robert Kahn, CEO of Corporation for National Research Initiatives (CNRI) and moderated by Saurabh Bagchi, Professor of Electrical and Computer Engineering."
"CERIAS - Symposium 2018 - Human Biases Meet Cybersecurity of Embedded and Networked Systems","Apr 16, 2018","CERIAS","https://www.youtube.com/embed/u8B3vtKKwg0","CERIAS Tech Talk - Human Biases Meet Cybersecurity of Embedded and Networked Systems"
"Dependability for Computer Systems meets Data Analytics","Oct 12, 2017","Virginia Tech Distinguished Seminar","https://www.youtube.com/embed/qLRZHSiWjuA","Virginia Tech Distinguished Seminar\nDependability for Computer Systems meets Data Analytics"
"CERIAS Talk on Zero Day Attack Detection for Enterprise Systems","Feb 27, 2013","CERIAS","https://www.youtube.com/embed/foZJOJgp7yk","CERIAS security seminar: enterprise security"
"Big Data for Reliability and Security","","edX Course","https://www.edx.org/course/big-data-for-reliability-and-security?index=product&queryID=ddf03ecdd6b00e4c2fb95c9329c488fb","This course teaches the principles and practices of big data for improving the reliability and the security of computing systems. It exemplifies the principles through real-world examples and provides challenging programming problems based on novel datasets."
